t_s,P_bar,Level_m,SP_bar,PV01_pct,LV01_pct
0.0,3.025137728463501,0.30734885044496063,2.0,8.30054242966076,0.0245027244088753
5.0,2.790297286383476,0.30787311251089006,2.0,4.938313037260768,1.191451434654435
10.0,2.6640371089702315,0.30718277574185165,2.0,4.316239137907287,1.1642468918188469
15.0,2.639848904855504,0.3066431550417364,2.0,4.261685964021004,1.1460137845488891
20.0,2.626619681515388,0.3053214229032353,2.0,4.24119595281377,1.0956487881727848
25.0,2.6101621942471342,0.304144870004673,2.0,4.205551287060299,1.0506881430806179
30.0,2.5905073917810184,0.30301624651581627,2.0,4.1561377152651,1.007060912666198
35.0,2.568880011951944,0.3019662000159816,2.0,4.097874938810103,0.9660578680786075
40.0,2.5462832372192032,0.30099067753876624,2.0,4.034705062249734,0.9275472125638992
45.0,2.5234732612837827,0.30008947290689897,2.0,3.969617501451973,0.8915586273117274
50.0,2.500838591172126,0.2992595731177021,2.0,3.904138281146328,0.8580066832712389
55.0,2.478696899874834,0.29849753332356055,2.0,3.8395556588323387,0.8267874301663671
60.0,2.4572344016480314,0.2977996344792702,2.0,3.776635305314579,0.7977841218243592
65.0,2.436555943468132,0.2971619775198268,2.0,3.7158276737730778,0.770870880583506
70.0,2.4167061425683274,0.29658055820419255,2.0,3.6573466430302854,0.7459156345889933
75.0,2.397707272286135,0.2960517691075823,2.0,3.6013216185775843,0.7228004813221792
80.0,2.37955528206944,0.29557193111897967,2.0,3.5477761098208265,0.7014027175591657
85.0,2.362231490294953,0.2951376550395052,2.0,3.4966753370818466,0.6816096142817641
90.0,2.345532999788514,0.29474575770929157,2.0,3.447220555172321,0.6633150756777177
95.0,2.32976304510492,0.2943927632661478,2.0,3.4007217422754756,0.646399460162456
100.0,2.3147505711263543,0.2940769312385211,2.0,3.3564851229880333,0.63081207715975
105.0,2.3004323386567975,0.29379526407707857,2.0,3.314303234193547,0.6164498557138256
110.0,2.2867692520678373,0.293545329554971,2.0,3.2740548650291577,0.6032314861348748
115.0,2.273726982146987,0.2933248924811144,2.0,3.2356342161199176,0.5910823489108178
120.0,2.2612727821429064,0.29313190535015543,2.0,3.1989398622024163,0.5799343063361173
125.0,2.249375200764708,0.2929644712181087,2.0,3.1638739585904467,0.5697242872630849
130.0,2.2379997866070496,0.2928208298675749,2.0,3.130324508012219,0.5603938067318232
135.0,2.227102248608398,0.29269933491989564,2.0,3.0981372560639326,0.5518881055651711
140.0,2.216797075101543,0.29259842779952605,2.0,3.0678156522407702,0.5441551522156125
145.0,2.2068513431962504,0.29251703412086943,2.0,3.038411235939569,0.5371618248181251
150.0,2.1973100959994363,0.2924533401281412,2.0,3.010152200423132,0.5308442751102531
155.0,2.188166890681934,0.2924062848366013,2.0,2.9830275278751497,0.5251685336071946
160.0,2.179403126415606,0.29237474479811165,2.0,2.956980571235737,0.5200974075172744
165.0,2.1709988282809833,0.29235766356502624,2.0,2.931949266724465,0.5155958817374519
170.0,2.1629350272173853,0.29235404317278024,2.0,2.907874863538045,0.51163077980217
175.0,2.1551939784217247,0.2923629492258878,2.0,2.8847026425032825,0.5081710018284865
180.0,2.1477412629068766,0.29238318771538385,5.0,-9.587692323082685,0.5051744017532986
185.0,2.1405782687280492,0.2924144697213988,5.0,-9.45928641422799,0.502635125557899
190.0,2.2552468855286625,0.2924556667538789,5.0,-9.125666441651159,0.5005128232393364
195.0,2.37101126056908,0.292703040051585,5.0,-8.793948802637056,0.5068005104264173
200.0,2.487359855444227,0.29293083259316416,5.0,-8.438925718735577,0.5123737122349409
205.0,2.6040341956039157,0.2931396009647388,5.0,-7.9721957835683686,0.5172904427462947
210.0,2.7212818479008334,0.29332108777072924,5.0,-7.503147843166975,0.5212050025581605
215.0,2.83882668797712,0.2934769893098873,5.0,-7.032938764083893,0.5241744417260602
220.0,2.956822549215141,0.2936077453907734,5.0,-6.560910217015634,0.5262035285652359
225.0,3.0746035807318193,0.29371580570248335,5.0,-6.089807573921055,0.5273793047310407
230.0,3.1927067159950484,0.2938016102547683,5.0,-5.617362822493484,0.5277078407979383
235.0,3.3108944466451833,0.29386693904481487,5.0,-5.1446034403542535,0.5272503667697604
240.0,3.4291149219780497,0.29391321403335124,5.0,-4.671718264554515,0.5260541625675892
245.0,3.547636932084641,0.2939412109983137,5.0,-4.197600070650778,0.5241409910605301
250.0,3.665915675677666,0.2939538271303515,5.0,-3.7245094229300344,0.5216194737406326
255.0,3.784179239803342,0.29395138491594336,5.0,-3.251456684374064,0.5184944659529891
260.0,3.9024127726956412,0.2939356534770428,5.0,-2.778525555928206,0.5148303772905901
265.0,4.020603326873711,0.29390795717841056,5.0,-2.3057676370873503,0.5106741109625591
270.0,4.138964116712856,0.2938690509926429,5.0,-1.8323074541646616,0.506050147050746
275.0,4.257069665138698,0.29382135225401057,5.0,-1.3599107846026222,0.5010511151218862
280.0,4.375100281395464,0.2937654501329226,5.0,-0.8877958127924672,0.49569611466833746
285.0,4.492867985303065,0.2937029884510069,5.0,-0.4167512883969784,0.4900478297050473
290.0,4.610617567552119,0.293634521542294,5.0,0.054245228433379866,0.48412521308232004
295.0,4.728668402037628,0.2935605163232363,5.0,0.5264786915990629,0.47794415481956104
300.0,4.838425938589239,0.29348396831594525,5.0,0.964679508012118,0.47162371012824433
305.0,4.878776445088514,0.2934011207090475,5.0,1.1191408310039828,0.4650091062869367
310.0,4.853367603606933,0.29329227732791585,5.0,1.0109295302795733,0.45729631055078185
315.0,4.8061239215171065,0.29316717194079744,5.0,0.8197713178594437,0.44887242863524696
320.0,4.776201558156935,0.2930484062863754,5.0,0.701813996291724,0.44064727354809247
325.0,4.774935987663985,0.2929534221633996,5.0,0.6996173936066468,0.43332937601704885
330.0,4.790702360123488,0.2928857998576749,5.0,0.7643860777399021,0.427072856080348
335.0,4.806277424755212,0.29283843458866815,5.0,0.8266672054840205,0.4216015140217566
340.0,4.811632462290896,0.29280223402990047,5.0,0.8470653529171512,0.4165568416280472
345.0,4.807756371354408,0.2927718113410804,5.0,0.8306378763239834,0.41172699531977347
350.0,4.80109227351244,0.29274737846466714,5.0,0.803702684265563,0.40712456745805886
355.0,4.796722742247234,0.29273133130933604,5.0,0.7864540158624167,0.40285002404369924
360.0,4.796309279584441,0.29272510692678777,5.0,0.7851957720714842,0.3989655667597189
365.0,4.798317611518477,0.2927286786391621,5.0,0.7934712792673104,0.3954747337932567
370.0,4.800097195504787,0.2927406478803694,5.0,0.8005667404177776,0.3923255068875013
375.0,4.800682122138969,0.292759148799404,5.0,0.8027869812192954,0.38944642438415294
380.0,4.800082443752596,0.2927833701111441,5.0,0.8002698071717476,0.38680810598786874
385.0,4.7990500144778165,0.2928128344190544,5.0,0.7960968149837884,0.38439414411304373
390.0,4.798296451973367,0.29284742532044017,5.0,0.7931104516430225,0.38220251814738876
395.0,4.79805926326864,0.29288699813546293,5.0,0.7922133342040878,0.380229926198758
400.0,4.798149816250105,0.29293122633903496,5.0,0.7926083202985676,0.3784655985888665
405.0,4.798251168139179,0.29297963400440125,5.0,0.7930148077456218,0.3768925580980774
410.0,4.79817267707885,0.29303172693099505,5.0,0.7926828592093671,0.3754928756795727
415.0,4.7979183564674734,0.2930870942699136,5.0,0.7916479938087562,0.37425177125373577
420.0,4.797603266324926,0.2931454288531848,5.0,0.7903815562854501,0.37315846246004675
425.0,4.797334092365066,0.2932064868813798,5.0,0.7893094520642783,0.37220457171752164
430.0,4.797423549436738,0.2932700373467512,5.0,0.7897031434541197,0.37138210749318984
435.0,4.797319979914409,0.2933360847331699,5.0,0.7892695627054034,0.3706925447007318
440.0,4.797047460789727,0.2934040283793222,5.0,0.7881625912464412,0.3701126839884321
445.0,4.796734671043324,0.2934735908496247,5.0,0.7869074051986551,0.36963230199017394
450.0,4.7964838426739655,0.2935446835802663,5.0,0.7859102878589264,0.36924865905803883
455.0,4.796316258404804,0.2936171534493256,5.0,0.7852482751923009,0.3689563059727567
460.0,4.796192095729556,0.2936908327427123,5.0,0.7847559666507005,0.36874913596444625
465.0,4.796061070027343,0.2937655390319196,5.0,0.7842311775391506,0.3686203624478623
470.0,4.795898916378685,0.29384109916947104,5.0,0.783579450149875,0.36856348830432456
475.0,4.79571221693609,0.2939173616470026,5.0,0.7828301978001022,0.3685728086970844
